PolyOrigin-PolyAncestry,designinfo
population,A,B,C
1,2,0,0
2,1,1,0
3,1,0,1
4,0,1,1
PolyOrigin-PolyAncestry,parentinfo
individual,ploidy
A,4
B,4
C,4
PolyOrigin-PolyAncestry,offspringinfo
individual,population,ploidy,isoutlier
AxA0001,1,4,false
AxA0002,1,4,false
AxA0003,1,4,false
AxA0004,1,4,false
AxA0005,1,4,false
AxA0006,1,4,false
AxA0007,1,4,false
AxA0008,1,4,false
AxA0009,1,4,false
AxA0010,1,4,false
AxB0001,2,4,false
AxB0002,2,4,false
AxB0003,2,4,false
AxB0004,2,4,false
AxB0005,2,4,false
AxB0006,2,4,false
AxB0007,2,4,false
AxB0008,2,4,false
AxB0009,2,4,false
AxB0010,2,4,false
AxC0001,3,4,false
AxC0002,3,4,false
AxC0003,3,4,false
AxC0004,3,4,false
AxC0005,3,4,false
AxC0006,3,4,false
AxC0007,3,4,false
AxC0008,3,4,false
AxC0009,3,4,false
AxC0010,3,4,false
BxC0001,4,4,false
BxC0002,4,4,false
BxC0003,4,4,false
BxC0004,4,4,false
BxC0005,4,4,false
BxC0006,4,4,false
BxC0007,4,4,false
BxC0008,4,4,false
BxC0009,4,4,false
BxC0010,4,4,false
PolyOrigin-PolyAncestry,delmarker
marker,chromosome,position
PolyOrigin-PolyAncestry,correction
round,marker,chromosome,parent,old_genotype,new_genotype,old_nerr,new_nerr
A,AxB0004,2,5|13|8|16,1:2-3:4|5:7-6:8|1:2-3:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-35.925|-38.763|-41.902|-44.74,0.9423|0.0552|0.0024|0.0001
A,AxB0005,2,11|12|15|16,1:4-2:3|5:8-6:7|1:2:3:4-1:2:3:4|5:8-6:7|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-38.997|-41.827|-43.448|-46.277,0.9334|0.0551|0.0109|0.0006
A,AxB0006,2,7|11|15|8|12|16,1:4-2:3|5:7-6:8|1:4-2:3|5:8-6:7|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-22.493|-22.495|-23.4|-24.277|-24.28|-25.187,0.3566|0.3557|0.144|0.0599|0.0597|0.0241
A,AxB0007,2,10|14|12|16,1:3-2:4|5:8-6:7|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-33.17|-34.951|-35.983|-37.764,0.8073|0.136|0.0485|0.0082
A,AxB0008,2,5|8|13|16,1:2-3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2-3:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-35.263|-37.122|-41.266|-43.127,0.8631|0.1345|0.0021|0.0003
A,AxB0009,2,7|15|8|16,1:4-2:3|5:7-6:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-18.946|-20.705|-21.798|-23.557,0.8065|0.1389|0.0466|0.008
A,AxB0010,2,1|13|4|16,1:2-3:4|5:6-7:8|1:2-3:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-29.739|-32.596|-32.639|-35.496,0.8963|0.0515|0.0493|0.0028
A,AxC0001,3,6|8|14|16,1:3-2:4|5:7-6:8|1:2:3:4-1:2:3:4|5:7-6:8|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-31.463|-33.319|-35.445|-37.3,0.849|0.1327|0.0158|0.0025
A,AxC0002,3,11|3|10|2|15|12|4|14|16,1:4-2:3|5:8-6:7|1:4-2:3|5:6-7:8|1:3-2:4|5:8-6:7|1:3-2:4|5:6-7:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6-7:8|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-17.911|-17.958|-17.988|-18.04|-18.687|-18.709|-18.76|-18.773|-19.492,0.1747|0.1666|0.1617|0.1535|0.0804|0.0786|0.0747|0.0737|0.0359
A,AxC0003,3,2|3|4|14|15|16,1:3-2:4|5:6-7:8|1:4-2:3|5:6-7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:3-2:4|5:6:7:8-5:6:7:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-14.532|-14.549|-15.224|-17.308|-17.332|-18.016,0.3791|0.3728|0.1898|0.0236|0.0231|0.0116
